Name,Team,Position(s),MP,Box Offense,Box Defense,Box Total,OnOff Offense,OnOff Defense,OnOff Total,RAPTOR Offense,RAPTOR Defense,RAPTOR Total,RAPTOR WAR
Tim Hardaway Jr.,Mavericks,"SG, SF",878,+0.4,-0.4,-0.1,+2.6,-4.7,-2.1,+0.9,-1.4,-0.5,1.0
Richaun Holmes,Kings,"PF, C",596,+0.2,-0.5,-0.4,+0.4,+3.6,+4.0,+0.2,+0.3,+0.6,1.0
Tyus Jones,Grizzlies,PG,603,+1.6,-0.4,+1.2,-3.8,+2.0,-1.8,+0.6,0.0,+0.6,1.0
Derrick Jones Jr.,Bulls,"SF, PF",406,+1.2,+0.8,+2.0,+3.2,-0.7,+2.5,+1.7,+0.5,+2.2,1.0
Terance Mann,Clippers,"SG, SF",789,-0.2,-0.2,-0.4,-1.3,+1.8,+0.6,-0.4,+0.1,-0.2,1.0
Tyrese Maxey,76ers,"PG, SG",969,+1.4,-2.0,-0.6,+1.2,-2.0,-0.8,+1.5,-2.1,-0.7,1.0
Raul Neto,Wizards,PG,578,-1.2,+1.3,+0.1,+2.0,-0.1,+1.9,-0.6,+1.1,+0.5,1.0
Grant Williams,Celtics,PF,618,-0.1,+1.2,+1.2,+1.8,-4.0,-2.2,+0.3,+0.2,+0.5,1.0
Bam Adebayo,Heat,C,592,-1.7,+2.1,+0.5,-5.0,+4.9,-0.1,-2.5,+2.8,+0.3,0.9
Nicolas Batum,Clippers,"SG, SF, PF",400,-0.6,+3.2,+2.5,-4.0,+2.0,-2.0,-1.4,+3.1,+1.7,0.9
Nemanja Bjelica,Warriors,"PF, C",399,-0.3,+2.7,+2.4,-0.6,-1.4,-2.0,-0.4,+1.8,+1.4,0.9
Bojan Bogdanovic,Jazz,"SF, PF",803,+2.3,-3.0,-0.6,+2.7,-1.9,+0.8,+2.4,-3.0,-0.6,0.9
Andre Drummond,76ers,C,571,-2.3,+2.4,+0.1,+1.9,-0.4,+1.5,-1.6,+2.0,+0.4,0.9
Javonte Green,Bulls,"SG, SF",474,-1.8,+2.5,+0.8,+0.9,0.0,+0.9,-1.3,+2.1,+0.8,0.9
Gordon Hayward,Hornets,SF,"1,030",+0.7,-1.7,-1.0,0.0,-0.5,-0.5,+0.5,-1.5,-1.0,0.9
Cameron Payne,Suns,PG,454,+0.7,+1.3,+2.0,-6.2,+3.2,-3.0,-0.8,+1.7,+0.9,0.9
Robert Williams III,Celtics,C,572,-1.1,+1.4,+0.3,+0.6,+0.5,+1.1,-0.8,+1.3,+0.4,0.9
Ivica Zubac,Clippers,C,718,-0.8,+2.1,+1.3,-0.9,-5.9,-6.8,-0.8,+0.5,-0.3,0.9
Jaylen Brown,Celtics,"SG, SF",456,-0.1,+0.1,0.0,-3.3,+6.3,+3.0,-0.8,+1.4,+0.6,0.8
Torrey Craig,Pacers,SF,412,-0.5,+2.8,+2.3,-2.2,-2.9,-5.1,-0.9,+1.7,+0.8,0.8
Devonte' Graham,Pelicans,PG,840,+0.7,-2.7,-2.0,+4.7,-1.2,+3.5,+1.6,-2.5,-0.9,0.8
Davion Mitchell,Kings,PG,744,+0.4,-1.3,-0.9,-4.7,+5.4,+0.8,-0.6,+0.1,-0.6,0.8
Norman Powell,Trail Blazers,"SG, SF",785,+1.1,-1.8,-0.7,+1.6,-3.0,-1.4,+1.3,-2.1,-0.9,0.8
Mitchell Robinson,Knicks,C,631,+0.4,0.0,+0.4,+3.3,-5.7,-2.4,+1.0,-1.1,-0.1,0.8
Juan Toscano-Anderson,Warriors,"SF, PF",433,-1.5,+1.9,+0.4,+3.4,+0.9,+4.3,-0.6,+1.7,+1.1,0.8
Devin Vassell,Spurs,"SG, SF",535,+0.4,0.0,+0.4,+1.7,-2.5,-0.7,+0.7,-0.5,+0.2,0.8
Mo Bamba,Magic,C,774,-2.3,+1.4,-0.9,-3.1,+0.7,-2.4,-2.5,+1.4,-1.1,0.7
Kentavious Caldwell-Pope,Wizards,"SG, SF",871,-1.1,+0.7,-0.4,-1.5,-2.5,-3.9,-1.3,+0.1,-1.1,0.7
Seth Curry,76ers,"PG, SG",929,+1.7,-2.7,-0.9,+0.8,-2.8,-2.0,+1.6,-2.9,-1.2,0.7
Tyler Herro,Heat,"PG, SG",822,+1.7,-2.5,-0.8,+3.0,-4.6,-1.6,+2.0,-3.1,-1.1,0.7
Cory Joseph,Pistons,PG,504,-2.3,+2.1,-0.2,-0.5,+0.2,-0.3,-2.1,+1.9,-0.2,0.7
Maxi Kleber,Mavericks,PF,441,-1.2,+2.2,+1.0,-0.4,-1.0,-1.4,-1.1,+1.6,+0.6,0.7
Nassir Little,Trail Blazers,"SF, PF",574,-0.1,-0.3,-0.4,+0.4,-1.1,-0.7,0.0,-0.4,-0.5,0.7
Kevon Looney,Warriors,"PF, C",519,-1.6,+1.6,+0.1,+3.0,-2.0,+1.0,-0.7,+0.8,+0.1,0.7
Kenyon Martin Jr.,Rockets,"SF, PF",480,+1.6,-2.5,-0.9,+5.6,-1.8,+3.9,+2.6,-2.4,+0.1,0.7
Jordan Poole,Warriors,"PG, SG",860,+0.8,-1.3,-0.4,-1.2,-2.3,-3.5,+0.4,-1.6,-1.2,0.7
Dean Wade,Cavaliers,PF,410,+0.4,+0.8,+1.3,-4.1,+1.6,-2.5,-0.5,+1.0,+0.5,0.7
Hassan Whiteside,Jazz,C,391,-1.2,+1.7,+0.5,+2.2,+1.2,+3.4,-0.7,+1.7,+1.0,0.7
DeAndre' Bembry,Nets,"SG, SF",509,-1.0,+1.3,+0.2,-1.8,-1.0,-2.8,-1.3,+0.8,-0.4,0.6
Armoni Brooks,Rockets,"PG, SG",396,+2.2,-3.2,-1.0,+4.6,+1.3,+5.8,+2.9,-2.4,+0.5,0.6
Furkan Korkmaz,76ers,"SG, SF",600,-0.3,-0.6,-0.9,-0.5,0.0,-0.5,-0.4,-0.5,-0.8,0.6
Khris Middleton,Bucks,SF,650,+1.2,-2.2,-1.0,-1.2,+1.5,+0.3,+0.8,-1.6,-0.9,0.6
Shake Milton,76ers,"PG, SG, SF",636,-0.8,-0.6,-1.4,-2.9,+3.8,+0.9,-1.3,+0.3,-1.0,0.6
Ja Morant,Grizzlies,PG,619,+4.0,-2.6,+1.4,+1.3,-10.6,-9.3,+3.6,-4.4,-0.8,0.6
Kevin Porter Jr.,Rockets,SG,574,-2.1,-0.3,-2.3,+1.2,+3.3,+4.5,-1.4,+0.5,-0.9,0.6
Dennis Schroder,Celtics,"PG, SG",894,0.0,-1.3,-1.3,-1.7,0.0,-1.7,-0.4,-1.1,-1.5,0.6
Anfernee Simons,Trail Blazers,"PG, SG",600,+1.3,-2.9,-1.6,+1.0,+1.4,+2.4,+1.3,-2.1,-0.8,0.6
Kemba Walker,Knicks,PG,441,-0.6,+2.6,+2.0,-2.4,-6.0,-8.4,-1.0,+1.0,0.0,0.6
Christian Wood,Rockets,"PF, C",858,-2.0,+1.2,-0.8,-3.9,-0.1,-4.0,-2.5,+1.1,-1.4,0.6
Carmelo Anthony,Lakers,"SF, PF",800,+0.9,-2.7,-1.8,+2.5,-2.3,+0.2,+1.3,-2.8,-1.5,0.5
Bogdan Bogdanovic,Hawks,"SG, SF",564,+0.7,-2.5,-1.8,+3.9,-2.0,+2.0,+1.4,-2.5,-1.1,0.5
Luguentz Dort,Thunder,"SG, SF",804,-0.9,+0.6,-0.2,-4.1,-3.2,-7.4,-1.5,-0.1,-1.6,0.5
T.J. McConnell,Pacers,PG,581,0.0,0.0,0.0,-2.3,-2.8,-5.0,-0.5,-0.6,-1.1,0.5
Landry Shamet,Suns,"SG, SF",562,+0.4,-0.8,-0.4,-4.7,+0.9,-3.8,-0.6,-0.6,-1.2,0.5
Lonnie Walker IV,Spurs,"SG, SF",581,-1.8,-0.2,-2.0,+1.4,+1.7,+3.1,-1.3,+0.2,-1.1,0.5
Wayne Ellington,Lakers,"SG, SF",428,-0.9,-0.4,-1.3,+2.8,-3.1,-0.3,-0.2,-0.9,-1.1,0.4
Kevin Huerter,Hawks,SG,741,-0.3,-3.3,-3.6,+0.9,+5.6,+6.4,-0.1,-1.7,-1.8,0.4
Brandon Ingram,Pelicans,"SG, SF",812,-0.1,-2.6,-2.7,+0.4,+1.5,+1.9,+0.1,-1.9,-1.8,0.4
Romeo Langford,Celtics,"SG, SF",402,-0.4,-0.3,-0.8,-2.6,+1.2,-1.4,-0.9,0.0,-1.0,0.4
Trey Murphy III,Pelicans,SG,384,-0.7,+0.5,-0.2,-7.3,+3.5,-3.9,-2.1,+1.2,-0.9,0.4
Josh Richardson,Celtics,"SG, SF",488,+0.3,-1.2,-1.0,0.0,-1.3,-1.2,+0.2,-1.4,-1.1,0.4
Duncan Robinson,Heat,"SG, SF",824,+0.5,-2.0,-1.5,-0.3,-2.1,-2.4,+0.3,-2.2,-1.9,0.4
Pascal Siakam,Raptors,PF,586,-1.2,-0.4,-1.7,+1.2,-0.4,+0.8,-0.8,-0.5,-1.3,0.4
Obi Toppin,Knicks,PF,413,-0.8,-3.0,-3.8,+5.3,+5.5,+10.8,+0.4,-1.3,-0.9,0.4
RJ Barrett,Knicks,"SG, SF",784,-0.7,-1.1,-1.9,+0.7,-3.3,-2.5,-0.5,-1.6,-2.1,0.3
Robert Covington,Trail Blazers,"SF, PF",790,-2.5,+1.6,-0.9,-3.7,-2.8,-6.5,-2.9,+0.9,-2.1,0.3
Spencer Dinwiddie,Wizards,"PG, SG",737,+0.9,-2.7,-1.7,-5.3,+2.8,-2.5,-0.3,-1.7,-2.0,0.3
Justin Holiday,Pacers,"SG, SF",693,-1.3,-0.8,-2.1,-1.5,+1.2,-0.3,-1.4,-0.4,-1.9,0.3
Jalen Suggs,Magic,"PG, SG",583,-4.6,+2.2,-2.4,-3.9,+4.5,+0.6,-4.6,+2.8,-1.8,0.3
Precious Achiuwa,Raptors,PF,556,-3.4,+1.1,-2.4,-2.1,+2.0,-0.1,-3.4,+1.3,-2.1,0.2
Nickeil Alexander-Walker,Pelicans,SG,847,-1.6,-0.9,-2.5,+1.0,-2.4,-1.4,-1.1,-1.2,-2.3,0.2
Chris Boucher,Raptors,"PF, C",405,-2.8,+0.4,-2.4,-1.2,+3.0,+1.7,-2.7,+1.0,-1.7,0.2
Daniel Gafford,Wizards,C,573,-0.4,-0.8,-1.2,-1.0,-3.9,-4.9,-0.5,-1.5,-2.0,0.2
Damion Lee,Warriors,"SG, SF",438,-2.8,+0.8,-2.0,-2.7,+3.6,+0.8,-3.0,+1.3,-1.7,0.2
Nikola Vucevic,Bulls,C,663,-3.5,+1.1,-2.4,-0.6,+0.7,+0.1,-3.1,+1.1,-2.1,0.2
P.J. Washington,Hornets,"PF, C",433,+0.7,-3.5,-2.8,+5.4,-3.8,+1.6,+1.7,-3.7,-2.0,0.2
Kyle Anderson,Grizzlies,"SF, PF",546,-0.5,-0.5,-1.0,-5.2,-2.1,-7.3,-1.5,-0.9,-2.4,0.1
Bruce Brown,Nets,"PG, SG",539,-2.1,+1.6,-0.5,-7.3,-1.4,-8.7,-3.3,+1.0,-2.3,0.1
Danilo Gallinari,Hawks,"SF, PF",546,+0.6,-1.8,-1.3,-4.2,-1.7,-5.9,-0.4,-1.9,-2.4,0.1
Jerami Grant,Pistons,"SF, PF",797,0.0,-1.9,-1.9,-7.1,+1.9,-5.2,-1.3,-1.2,-2.5,0.1
Aaron Holiday,Wizards,"PG, SG",478,-1.3,-0.7,-2.0,-2.3,-1.6,-3.9,-1.5,-0.9,-2.4,0.1
Frank Jackson,Pistons,"PG, SG",597,-0.4,-3.1,-3.4,0.0,+2.2,+2.2,-0.2,-2.1,-2.3,0.1
Jaden McDaniels,Timberwolves,PF,625,-2.9,+1.8,-1.1,-7.8,+0.5,-7.3,-4.1,+1.6,-2.5,0.1
Marcus Morris Sr.,Clippers,"PF, C",386,-0.2,-1.8,-2.0,+1.9,-4.9,-2.9,+0.3,-2.6,-2.3,0.1
Isaiah Stewart,Pistons,C,647,-3.2,+1.4,-1.8,-5.7,+1.1,-4.6,-3.9,+1.5,-2.4,0.1
Russell Westbrook,Lakers,"PG, SG","1,049",-0.3,-1.9,-2.1,-3.8,-0.5,-4.2,-1.0,-1.7,-2.6,0.1
Ayo Dosunmu,Bulls,SG,447,-0.6,-1.9,-2.5,-2.9,+0.7,-2.2,-1.1,-1.5,-2.6,0.0
Josh Jackson,Pistons,"SG, SF",417,-0.9,-1.5,-2.4,+1.3,-5.5,-4.2,-0.4,-2.4,-2.8,0.0
Kelan Martin,Pacers,SF,405,-1.3,-0.6,-2.0,-1.9,-2.0,-3.9,-1.6,-1.0,-2.6,0.0
Cam Reddish,Hawks,SF,543,-0.7,-0.1,-0.8,-8.5,-1.0,-9.5,-2.5,-0.3,-2.7,0.0
Garrett Temple,Pelicans,"SG, SF",517,-1.4,+1.5,+0.1,-7.7,-6.6,-14.3,-2.8,0.0,-2.9,0.0
OG Anunoby,Raptors,SF,560,-0.3,-2.4,-2.7,+0.8,-5.0,-4.2,-0.1,-3.1,-3.2,-0.1
Kyle Kuzma,Wizards,"SF, PF",913,-2.8,+0.2,-2.6,-0.1,-3.4,-3.5,-2.4,-0.5,-2.9,-0.1
Svi Mykhailiuk,Raptors,"SG, SF",501,-1.1,-1.2,-2.3,-3.1,-2.4,-5.5,-1.6,-1.5,-3.1,-0.1
Mason Plumlee,Hornets,C,545,-2.1,-1.1,-3.2,-6.2,+3.6,-2.6,-3.1,-0.1,-3.2,-0.1
Reggie Bullock,Mavericks,"SG, SF",646,-3.5,-1.2,-4.7,-1.8,+5.1,+3.2,-3.4,0.0,-3.3,-0.2
Talen Horton-Tucker,Lakers,SF,432,-3.1,-1.2,-4.3,-0.8,-0.1,-0.9,-2.8,-1.1,-3.9,-0.2
Trey Lyles,Pistons,PF,444,-1.4,-2.7,-4.1,+3.6,-4.9,-1.3,-0.4,-3.3,-3.6,-0.2
Eric Bledsoe,Clippers,"PG, SG",766,-1.9,-0.1,-1.9,-4.3,-4.8,-9.1,-2.4,-1.1,-3.5,-0.3
Facundo Campazzo,Nuggets,PG,547,+0.1,-0.6,-0.5,-8.1,-9.1,-17.2,-1.6,-2.4,-4.0,-0.3
Cade Cunningham,Pistons,PG,708,-3.1,-1.5,-4.6,+1.1,0.0,+1.1,-2.2,-1.3,-3.5,-0.3
Evan Fournier,Knicks,"SG, SF",815,-0.4,-2.2,-2.6,-1.1,-4.3,-5.4,-0.6,-2.8,-3.4,-0.3
Josh Giddey,Thunder,SG,747,-2.3,-0.9,-3.2,-3.1,-2.9,-6.0,-2.5,-1.4,-3.8,-0.4
Eric Gordon,Rockets,"SG, SF",717,-1.3,-3.4,-4.8,+1.0,-0.4,+0.6,-0.9,-2.9,-3.8,-0.4
Joe Harris,Nets,"SG, SF",423,-2.4,-2.1,-4.6,-3.3,-0.8,-4.1,-2.8,-2.0,-4.8,-0.4
Tobias Harris,76ers,"SF, PF",720,0.0,-3.1,-3.0,-2.1,-4.2,-6.3,-0.4,-3.5,-3.9,-0.4
Aleksej Pokusevski,Thunder,PF,386,-4.7,-0.1,-4.8,-6.8,+3.9,-2.9,-5.3,+0.8,-4.5,-0.4
Dwight Powell,Mavericks,"PF, C",536,-2.3,-0.7,-2.9,-6.8,-1.7,-8.5,-3.3,-1.0,-4.3,-0.4
Avery Bradley,Lakers,"PG, SG",599,-2.9,-1.4,-4.3,-3.9,+0.7,-3.2,-3.3,-1.0,-4.3,-0.5
Killian Hayes,Pistons,"PG, SG",566,-3.9,-0.4,-4.2,-2.3,-2.0,-4.3,-3.7,-0.7,-4.4,-0.5
Jordan Nwora,Bucks,"SF, PF",410,-3.5,-1.7,-5.2,-4.4,+1.3,-3.1,-3.9,-1.2,-5.1,-0.5
Daniel Theis,Rockets,C,457,-4.9,+2.3,-2.6,-12.4,-0.5,-12.8,-6.7,+1.9,-4.8,-0.5
R.J. Hampton,Magic,"PG, SG",536,-2.0,-1.6,-3.5,-8.1,-2.3,-10.4,-3.3,-1.8,-5.0,-0.6
De'Aaron Fox,Kings,PG,993,+0.7,-3.0,-2.2,+1.0,-11.3,-10.2,+0.8,-4.8,-4.0,-0.7
Naz Reid,Timberwolves,C,415,-2.3,-1.6,-3.9,-8.6,-3.4,-12.1,-3.7,-2.2,-5.9,-0.7
Malik Beasley,Timberwolves,"SG, SF",718,-0.7,-2.6,-3.3,-5.0,-4.9,-9.9,-1.6,-3.2,-4.8,-0.8
Gary Harris,Magic,SG,579,-2.3,-2.9,-5.3,-2.2,-4.5,-6.7,-2.4,-3.4,-5.8,-0.9
Doug McDermott,Spurs,"SF, PF",499,-0.2,-5.7,-5.9,0.0,-7.2,-7.2,-0.1,-6.4,-6.5,-1.0
Jeremiah Robinson-Earl,Thunder,PF,590,-3.7,-2.7,-6.4,-3.8,-0.4,-4.2,-3.8,-2.3,-6.2,-1.0
Terrence Ross,Magic,"SG, SF",715,+0.1,-3.5,-3.4,-5.9,-8.8,-14.7,-1.1,-4.8,-5.8,-1.1
Saddiq Bey,Pistons,"SF, PF",860,-1.8,-2.7,-4.4,-3.5,-5.2,-8.6,-2.1,-3.3,-5.4,-1.2
Jeff Green,Nuggets,PF,701,-2.8,-2.9,-5.7,0.0,-6.1,-6.1,-2.3,-3.8,-6.1,-1.2
Chuma Okeke,Magic,PF,488,-4.1,-2.6,-6.7,-8.6,-2.0,-10.6,-5.2,-2.6,-7.8,-1.3
Darius Bazley,Thunder,"SF, PF",740,-5.2,-0.7,-5.8,-0.3,-9.4,-9.7,-4.4,-2.5,-6.9,-1.6
Julius Randle,Knicks,PF,"1,022",-1.4,-2.4,-3.8,-8.1,-7.2,-15.3,-2.9,-3.5,-6.4,-1.9
Jalen Green,Rockets,SG,555,-4.0,-3.4,-7.3,-11.5,-5.6,-17.1,-5.7,-3.9,-9.7,-2.0
